['Deep Learning and Its Applications in Biomedicine']	['Genomics, Proteomics and Bioinformatics']	['16']	['(1)']	[',\npp.\n17-32\n']	['2018']	['\n95\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Genomics, Proteomics and Bioinformatics']	['16']	['(2)']	[',\npp.\n99-107\n']	['2018']	['\n56\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Genomics, Proteomics and Bioinformatics']	['16']	['(1)']	[',\npp.\n33-49\n']	['2018']	['\n40\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n226-233\n']	['2018']	['\n35\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Genomics, Proteomics and Bioinformatics']	['16']	['(1)']	[',\npp.\n50-62\n']	['2018']	['\n32\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n269-275\n']	['2018']	['\n31\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Genomics, Proteomics and Bioinformatics']	['16']	['(5)']	[',\npp.\n320-331\n']	['2018']	['\n24\n']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Genomics, Proteomics and Bioinformatics']	['16']	['(3)']	[',\n                              pp.\n200-211\n']	['2018']	['\n22\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Genomics, Proteomics and Bioinformatics']	['16']	['(2)']	[',\npp.\n120-126\n']	['2018']	['\n22\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['Genomics, Proteomics and Bioinformatics']	['16']	['(3)']	[',\npp.\n155-161\n']	['2018']	['\n21\n']
['Recent Advances in Function-based Metagenomic Screening']	['Genomics, Proteomics and Bioinformatics']	['16']	['(6)']	[',\npp.\n405-415\n']	['2018']	['\n19\n']
['DeepNitro: Prediction of Protein Nitration and Nitrosylation Sites by Deep Learning']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n294-306\n']	['2018']	['\n18\n']
['Integration of A Deep Learning Classifier with A Random Forest Approach for Predicting Malonylation Sites']	['Genomics, Proteomics and Bioinformatics']	['16']	['(6)']	[',\npp.\n451-459\n']	['2018']	['\n17\n']
['5-Hydroxymethylome in Circulating Cell-free DNA as A Potential Biomarker for Non-small-cell Lung Cancer']	['Genomics, Proteomics and Bioinformatics']	['16']	['(3)']	[',\npp.\n187-199\n']	['2018']	['\n17\n']
['Structural Insights into N', '-methyladenosine (m', 'A) Modification in the Transcriptome']	['Genomics, Proteomics and Bioinformatics']	['16']	['(2)']	[',\npp.\n85-98\n']	['2018']	['\n17\n']
['m', 'A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['Genomics, Proteomics and Bioinformatics']	['17']	['(2)']	[',\npp.\n154-168\n']	['2019']	['\n16\n']
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n13-25\n']	['2019']	['\n16\n']
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n244-251\n']	['2018']	['\n15\n']
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n276-282\n']	['2018']	['\n15\n']
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['Genomics, Proteomics and Bioinformatics']	['17']	['(2)']	[',\npp.\n119-128\n']	['2019']	['\n14\n']
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n64-75\n']	['2019']	['\n14\n']
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['Genomics, Proteomics and Bioinformatics']	['16']	['(3)']	[',\npp.\n162-171\n']	['2018']	['\n12\n']
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n26-38\n']	['2019']	['\n11\n']
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['Genomics, Proteomics and Bioinformatics']	['16']	['(6)']	[',\npp.\n416-427\n']	['2018']	['\n11\n']
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['Genomics, Proteomics and Bioinformatics']	['16']	['(2)']	[',\npp.\n136-143\n']	['2018']	['\n11\n']
['Rice Genomics: over the Past Two Decades and into the Future']	['Genomics, Proteomics and Bioinformatics']	['16']	['(6)']	[',\npp.\n397-404\n']	['2018']	['\n10\n']
['Development of the “Third-Generation” Hybrid Rice in China']	['Genomics, Proteomics and Bioinformatics']	['16']	['(6)']	[',\npp.\n393-396\n']	['2018']	['\n10\n']
['SPORTS1.0: A Tool for Annotating and Profiling Non-coding RNAs Optimized for rRNA- and tRNA-derived Small RNAs']	['Genomics, Proteomics and Bioinformatics']	['16']	['(2)']	[',\npp.\n144-151\n']	['2018']	['\n10\n']
['Antibiotic Treatment Drives the Diversification of the Human Gut Resistome']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n39-51\n']	['2019']	['\n9\n']
['Applications of RNA Indexes for Precision Oncology in Breast Cancer']	['Genomics, Proteomics and Bioinformatics']	['16']	['(2)']	[',\npp.\n108-119\n']	['2018']	['\n9\n']
['Single-cell Analysis of CAR-T Cell Activation Reveals A Mixed T', '1/T', '2 Response Independent of Differentiation']	['Genomics, Proteomics and Bioinformatics']	['17']	['(2)']	[',\npp.\n129-139\n']	['2019']	['\n8\n']
['Proteomics Analysis of Lipid Droplets from the Oleaginous Alga Chromochloris zofingiensis Reveals Novel Proteins for Lipid Metabolism']	['Genomics, Proteomics and Bioinformatics']	['17']	['(3)']	[',\npp.\n260-272\n']	['2019']	['\n7\n']
['Whole Genome Analyses of Chinese Population and De Novo Assembly of A Northern Han Genome']	['Genomics, Proteomics and Bioinformatics']	['17']	['(3)']	[',\npp.\n229-247\n']	['2019']	['\n7\n']
['Agricultural Risk Factors Influence Microbial Ecology in Honghu Lake']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n76-90\n']	['2019']	['\n7\n']
['Tet2 Regulates Osteoclast Differentiation by Interacting with Runx1 and Maintaining Genomic 5-Hydroxymethylcytosine (5hmC)']	['Genomics, Proteomics and Bioinformatics']	['16']	['(3)']	[',\npp.\n172-186\n']	['2018']	['\n7\n']
['Bioinformatics and the cell: Modern computational approaches in genomics, proteomics and transcriptomics, Second edition']	[]	['\npp.\n1-489\n']	[]	[]	['2018']	['\n7\n']
['Warburg Effects in Cancer and Normal Proliferating Cells: Two Tales of the Same Name']	['Genomics, Proteomics and Bioinformatics']	['17']	['(3)']	[',\npp.\n273-286\n']	['2019']	['\n6\n']
['Global Quantitative Mapping of Enhancers in Rice by STARR-seq']	['Genomics, Proteomics and Bioinformatics']	['17']	['(2)']	[',\npp.\n140-153\n']	['2019']	['\n6\n']
['SSCC: A Novel Computational Framework for Rapid and Accurate Clustering Large-scale Single Cell RNA-seq Data']	['Genomics, Proteomics and Bioinformatics']	['17']	['(2)']	[',\npp.\n201-210\n']	['2019']	['\n6\n']
['Effects of Proton Pump Inhibitors on the Gastrointestinal Microbiota in Gastroesophageal Reflux Disease']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n52-63\n']	['2019']	['\n6\n']
['GITAR: An Open Source Tool for Analysis and Visualization of Hi-C Data']	['Genomics, Proteomics and Bioinformatics']	['16']	['(5)']	[',\npp.\n365-372\n']	['2018']	['\n6\n']
['Genome Writing: Current Progress and Related Applications']	['Genomics, Proteomics and Bioinformatics']	['16']	['(1)']	[',\npp.\n10-16\n']	['2018']	['\n6\n']
