['Deep Learning and Its Applications in Biomedicine']	['A survey on deep learning in medicine: Why, how and when?']	['Information Fusion']	['66']	[',\npp.\n111-137\n']	[]	['2021']	[]
['Deep Learning and Its Applications in Biomedicine']	['A deep learning approach for pressure ulcer prevention using wearable computing']	['Human-centric Computing and Information Sciences']	['10']	['(1)']	[',5']	['2020']	['\n3\n']
['Deep Learning and Its Applications in Biomedicine']	['Automatic T Staging Using Weakly Supervised Deep Learning for Nasopharyngeal Carcinoma on MR Images']	['Journal of Magnetic Resonance Imaging']	['52']	['(4)']	[',\npp.\n1074-1082\n']	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Comparison of deep learning models for natural language processing-based classification of non-English head CT reports']	['Neuroradiology']	['62']	['(10)']	[',\npp.\n1247-1256\n']	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Classification of non-severe traumatic brain injury from resting-state eeg signal using lstm network with ECOC-SVM']	['Sensors (Switzerland)']	['20']	['(18)']	[',5234']	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['NetEPD: A network-based essential protein discovery platform']	['Tsinghua Science and Technology']	['25']	['(4)']	[',8954872']	['2020']	['\n2\n']
['Deep Learning and Its Applications in Biomedicine']	['Graph-based prediction of Protein-protein interactions with attributed signed graph embedding']	['BMC Bioinformatics']	['21']	['(1)']	[',323']	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Autoencoders for health improvement by compressing the set of patient features']	['Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS']	['2020-July']	[',9176209']	[',\npp.\n5917-5920\n']	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['An Autoencoder based Technique for DNA Microarray Image Denoising']	[]	['9182265']	[',\npp.\n1366-1371\n']	[]	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Using Artificial Intelligence to Manage Thrombosis Research, Diagnosis, and Clinical Management']	['Seminars in Thrombosis and Hemostasis']	['46']	['(4)']	[',\npp.\n410-418\n']	['2020']	['\n3\n']
['Deep Learning and Its Applications in Biomedicine']	['Automated molecular-image cytometry and analysis in modern oncology']	['Nature Reviews Materials']	['5']	['(6)']	[',\npp.\n409-422\n']	['2020']	['\n2\n']
