['Deep Learning and Its Applications in Biomedicine']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['1']	['17-32']	['FEB 2018']	['63']
['YTH Domain: A Family of N-6-methyladenosine (m(6)A) Readers']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['2']	['99-107']	['APR 2018']	['56']
['Human Gut Microbiota and Gastrointestinal Cancer']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['1']	['33-49']	['FEB 2018']	['38']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['4']	[]	[]	['35']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['4']	[]	[]	['32']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['1']	['50-62']	['FEB 2018']	['31']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['3']	['200-211']	['JUN 2018']	['24']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['5']	['320-331']	['OCT 2018']	['22']
['Reversible RNA Modification N-1 - methyladenosine (m(1)A) in mRNA and tRNA']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['3']	['155-161']	['JUN 2018']	['22']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['2']	['120-126']	['APR 2018']	['21']
['Recent Advances in Function-based Metagenomic Screening']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['6']	['405-415']	['DEC 2018']	['17']
['DeepNitro: Prediction of Protein Nitration and Nitrosylation Sites by Deep Learning']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['4']	[]	[]	['17']
['5-Hydroxymethylome in Circulating Cell-free DNA as A Potential Biomarker for Non-small-cell Lung Cancer']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['3']	['187-199']	['JUN 2018']	['17']
['Structural Insights into N-6-methyladenosine (m(6)A) Modification in the Transcriptome']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['2']	['85-98']	['APR 2018']	['16']
['m(6)A Regulates Neurogenesis and Neuronal Development by Modulating Histone Methyltransferase Ezh2']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['17']	['2']	['154-168']	['APR 2019']	['15']
['Intestinal Microbiota in Early Life and Its Implications on Childhood Health']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['17']	['1']	['13-25']	['FEB 2019']	['14']
['PTMD: A Database of Human Disease-associated Post-translational Modifications']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['4']	[]	[]	['14']
['Progress and Challenges for Live-cell Imaging of Genomic Loci Using CRISPR-based Platforms']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['17']	['2']	['119-128']	['APR 2019']	['13']
['TSNAdb: A Database for Tumor-specific Neoantigens from Immunogenomics Data Analysis']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['4']	[]	[]	['13']
['Inulin Can Alleviate Metabolism Disorders in ob/ob Mice by Partially Restoring Leptin-related Pathways Mediated by Gut Microbiota']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['17']	['1']	['64-75']	['FEB 2019']	['12']
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['2']	['136-143']	['APR 2018']	['12']
['Integration of A Deep Learning Classifier with A Random Forest Approach for Predicting Malonylation Sites']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['6']	['451-459']	['DEC 2018']	['11']
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	[]	[]	[]	[]	['11']
['SPORTS1.0: A Tool for Annotating and Profiling Non-coding RNAs Optimized for rRNA- and tRNA-derived Small RNAs']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['2']	['144-151']	['APR 2018']	['11']
['Rice Genomics: over the Past Two Decades and into the Future']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['6']	['397-404']	['DEC 2018']	['10']
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['6']	['416-427']	['DEC 2018']	['10']
['Genome Writing: Current Progress and Related Applications']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['1']	['10-16']	['FEB 2018']	['10']
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['17']	['1']	['26-38']	['FEB 2019']	['9']
['Applications of RNA Indexes for Precision Oncology in Breast Cancer']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['16']	['2']	['108-119']	['APR 2018']	['9']
['Proteomics Analysis of Lipid Droplets from the Oleaginous Alga Chromochloris zofingiensis Reveals Novel Proteins for Lipid Metabolism']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['17']	['3']	['260-272']	['JUN 2019']	['8']
